,news_id,tweet_id,reply_id,tweet_detail,replies_detail
18,46,1249430114141712384,"[1249430570272096256, 1249432108071825408]","[datetime.date(2020, 4, 12), 1249430114141712384, 393645945]","[[datetime.date(2020, 4, 12), 1249430570272096256, 950117126], [datetime.date(2020, 4, 12), 1249432108071825408, 911370586399617024]]"
19,46,1249430889542479872,"[1249448268322476040, 1249433427545337857, 1249435482557222921, 1249803314738409473]","[datetime.date(2020, 4, 12), 1249430889542479872, 3282582960]","[[datetime.date(2020, 4, 12), 1249433427545337857, 1133166060893556736], [datetime.date(2020, 4, 12), 1249435482557222921, 1133166060893556736], [datetime.date(2020, 4, 12), 1249448268322476040, 462890267], [datetime.date(2020, 4, 13), 1249803314738409473, 1070692451172659200]]"
20,46,1249435682667245568,[1249469828009799684],"[datetime.date(2020, 4, 12), 1249435682667245568, 1036544678336684032]","[[datetime.date(2020, 4, 12), 1249469828009799684, 45937977]]"
21,46,1249445156727803904,[1249474208456798208],"[datetime.date(2020, 4, 12), 1249445156727803904, 3041137959]","[[datetime.date(2020, 4, 12), 1249474208456798208, 875997477802868736]]"
22,46,1249445603597221888,[1249447240885772290],"[datetime.date(2020, 4, 12), 1249445603597221888, 774487042315149312]","[[datetime.date(2020, 4, 12), 1249447240885772290, 782899974421880832]]"
23,46,1249451697379905537,[1249454402974482435],"[datetime.date(2020, 4, 12), 1249451697379905537, 1276899210]","[[datetime.date(2020, 4, 12), 1249454402974482435, 148748721]]"
24,46,1249523741295620096,"[1249535180596867073, 1249535722077540352, 1249529634976337923]","[datetime.date(2020, 4, 13), 1249523741295620096, 791440926707253248]","[[datetime.date(2020, 4, 13), 1249529634976337923, 791440926707253248], [datetime.date(2020, 4, 13), 1249535180596867073, 1208613044722364416], [datetime.date(2020, 4, 13), 1249535722077540352, 791440926707253248]]"
25,46,1249668627638484995,"[1249671274537857025, 1249672161863876613]","[datetime.date(2020, 4, 13), 1249668627638484995, 1055405245449322496]","[[datetime.date(2020, 4, 13), 1249671274537857025, 1055405245449322496], [datetime.date(2020, 4, 13), 1249672161863876613, 1055405245449322496]]"
26,46,1249674309053886464,[1249683975242743810],"[datetime.date(2020, 4, 13), 1249674309053886464, 3481965513]","[[datetime.date(2020, 4, 13), 1249683975242743810, 58968407]]"
27,46,1249744632830808065,[1249745473130414083],"[datetime.date(2020, 4, 13), 1249744632830808065, 902156160945573890]","[[datetime.date(2020, 4, 13), 1249745473130414083, 1016103365212868608]]"
28,46,1249868046342201344,"[1249889801991368705, 1249873364560285698]","[datetime.date(2020, 4, 14), 1249868046342201344, 970331254569734144]","[[datetime.date(2020, 4, 14), 1249873364560285698, 4896646593], [datetime.date(2020, 4, 14), 1249889801991368705, 887377809936723969]]"
29,51,1249373119480913920,[1249373120441405440],"[datetime.date(2020, 4, 12), 1249373119480913920, 43295161]","[[datetime.date(2020, 4, 12), 1249373120441405440, 43295161]]"
30,51,1249390457857032192,[1249390609061863430],"[datetime.date(2020, 4, 12), 1249390457857032192, 727487510]","[[datetime.date(2020, 4, 12), 1249390609061863430, 19833250]]"
31,51,1249424827317989378,[1249425007094136833],"[datetime.date(2020, 4, 12), 1249424827317989378, 1307829866]","[[datetime.date(2020, 4, 12), 1249425007094136833, 1307829866]]"
32,51,1249661463503024132,"[1249661657489571840, 1249661659242790912]","[datetime.date(2020, 4, 13), 1249661463503024132, 2583678126]","[[datetime.date(2020, 4, 13), 1249661657489571840, 2583678126], [datetime.date(2020, 4, 13), 1249661659242790912, 2583678126]]"
33,51,1249845737426427904,[1249847139200622592],"[datetime.date(2020, 4, 13), 1249845737426427904, 172038548]","[[datetime.date(2020, 4, 13), 1249847139200622592, 172038548]]"
34,51,1249902652240138240,[1249902653561241601],"[datetime.date(2020, 4, 14), 1249902652240138240, 1596324199]","[[datetime.date(2020, 4, 14), 1249902653561241601, 1596324199]]"
35,51,1250744459630972929,"[1250744125739151360, 1250744457823207425, 1250744461350453248]","[datetime.date(2020, 4, 16), 1250744459630972929, 2583678126]","[[datetime.date(2020, 4, 16), 1250744125739151360, 2583678126], [datetime.date(2020, 4, 16), 1250744457823207425, 2583678126], [datetime.date(2020, 4, 16), 1250744461350453248, 2583678126]]"
36,55,1249367725773746177,[1249368963294863367],"[datetime.date(2020, 4, 12), 1249367725773746177, 903394670935293953]","[[datetime.date(2020, 4, 12), 1249368963294863367, 2849309099]]"
37,55,1249410299884711936,"[1249410987230400512, 1249412783436959744]","[datetime.date(2020, 4, 12), 1249410299884711936, 2286004292]","[[datetime.date(2020, 4, 12), 1249410987230400512, 122272286], [datetime.date(2020, 4, 12), 1249412783436959744, 2286004292]]"
38,55,1249477334543093766,"[1249481602662531072, 1249645201863385088, 1249646591193026560, 1249538924441006080, 1249492297395429376, 1249527239118442496, 1249613423375073280, 1249539516127498240, 1249608183921938433, 1249815510398754816, 1249608687473381376, 1250256257145024512, 1249519923765772289, 1249606318748585984, 1249691684553793537]","[datetime.date(2020, 4, 12), 1249477334543093766, 230818994]","[[datetime.date(2020, 4, 12), 1249481602662531072, 486992503], [datetime.date(2020, 4, 13), 1249492297395429376, 1210847398211096577], [datetime.date(2020, 4, 13), 1249519923765772289, 825805951487733760], [datetime.date(2020, 4, 13), 1249527239118442496, 1129553531181051904], [datetime.date(2020, 4, 13), 1249538924441006080, 85252609], [datetime.date(2020, 4, 13), 1249539516127498240, 1158536154280390656], [datetime.date(2020, 4, 13), 1249606318748585984, 1050430066214297600], [datetime.date(2020, 4, 13), 1249608183921938433, 54978732], [datetime.date(2020, 4, 13), 1249608687473381376, 755266896], [datetime.date(2020, 4, 13), 1249613423375073280, 1192149900470829056], [datetime.date(2020, 4, 13), 1249645201863385088, 2922975874], [datetime.date(2020, 4, 13), 1249646591193026560, 230818994], [datetime.date(2020, 4, 13), 1249691684553793537, 1210847398211096577], [datetime.date(2020, 4, 13), 1249815510398754816, 25562165], [datetime.date(2020, 4, 15), 1250256257145024512, 1008564210488537089]]"
39,55,1250109734578827264,[1250171693806600192],"[datetime.date(2020, 4, 14), 1250109734578827264, 903394670935293953]","[[datetime.date(2020, 4, 14), 1250171693806600192, 1197553874866970624]]"
40,67,1248209469433155584,"[1248213612537102336, 1248218313911566338]","[datetime.date(2020, 4, 9), 1248209469433155584, 26267040]","[[datetime.date(2020, 4, 9), 1248213612537102336, 322776395], [datetime.date(2020, 4, 9), 1248218313911566338, 896473356]]"
41,67,1248319312164728832,[1248326983806627840],"[datetime.date(2020, 4, 9), 1248319312164728832, 79917675]","[[datetime.date(2020, 4, 9), 1248326983806627840, 79917675]]"
42,67,1248607642563440643,"[1248453244000452610, 1248458024227749888, 1248610968256393217]","[datetime.date(2020, 4, 10), 1248607642563440643, 221574777]","[[datetime.date(2020, 4, 10), 1248453244000452610, 742143], [datetime.date(2020, 4, 10), 1248458024227749888, 221574777], [datetime.date(2020, 4, 10), 1248610968256393217, 893640661]]"
43,67,1249079055154020353,"[1249079056672456707, 1249079057712656384]","[datetime.date(2020, 4, 11), 1249079055154020353, 8129032]","[[datetime.date(2020, 4, 11), 1249079056672456707, 8129032], [datetime.date(2020, 4, 11), 1249079057712656384, 8129032]]"
44,68,1249189869462708229,"[1249194840568532994, 1249212617320796160]","[datetime.date(2020, 4, 12), 1249189869462708229, 969677128756113408]","[[datetime.date(2020, 4, 12), 1249194840568532994, 986158533874995200], [datetime.date(2020, 4, 12), 1249212617320796160, 3016047974]]"
45,68,1250024250636976128,"[1250025028395175937, 1250050764636069889, 1250052419297234945, 1250029023595581440, 1250025445871009793, 1250086949626490881, 1250033633055903750]","[datetime.date(2020, 4, 14), 1250024250636976128, 987130032]","[[datetime.date(2020, 4, 14), 1250025028395175937, 987130032], [datetime.date(2020, 4, 14), 1250025445871009793, 525285274], [datetime.date(2020, 4, 14), 1250029023595581440, 1074623562], [datetime.date(2020, 4, 14), 1250033633055903750, 81607832], [datetime.date(2020, 4, 14), 1250050764636069889, 340362899], [datetime.date(2020, 4, 14), 1250052419297234945, 987130032], [datetime.date(2020, 4, 14), 1250086949626490881, 240798664]]"
46,73,1248612807748104194,[1248611944409346049],"[datetime.date(2020, 4, 10), 1248612807748104194, 328759670]","[[datetime.date(2020, 4, 10), 1248611944409346049, 15754281]]"
47,84,1247256082898132992,[1247286152295374849],"[datetime.date(2020, 4, 6), 1247256082898132992, 288164866]","[[datetime.date(2020, 4, 6), 1247286152295374849, 985656652543115264]]"
48,84,1247309943507566592,[1247318706193121285],"[datetime.date(2020, 4, 6), 1247309943507566592, 2346195950]","[[datetime.date(2020, 4, 7), 1247318706193121285, 175582509]]"
49,84,1247328174108631041,"[1247306981578285063, 1247308428550144001, 1247329440482246656, 1247359740172103685]","[datetime.date(2020, 4, 7), 1247328174108631041, 16881384]","[[datetime.date(2020, 4, 6), 1247306981578285063, 14745059], [datetime.date(2020, 4, 6), 1247308428550144001, 31513326], [datetime.date(2020, 4, 7), 1247329440482246656, 31513326], [datetime.date(2020, 4, 7), 1247359740172103685, 16881384]]"
50,84,1247328983722549248,"[1247339404542087168, 1247442892987170816, 1247848672827789313, 1247331314363174912]","[datetime.date(2020, 4, 7), 1247328983722549248, 16881384]","[[datetime.date(2020, 4, 7), 1247331314363174912, 891272686940413952], [datetime.date(2020, 4, 7), 1247339404542087168, 16881384], [datetime.date(2020, 4, 7), 1247442892987170816, 2419542791], [datetime.date(2020, 4, 8), 1247848672827789313, 49344076]]"
51,84,1247347441449537538,"[1247355220553797637, 1247362812399271941]","[datetime.date(2020, 4, 7), 1247347441449537538, 394404097]","[[datetime.date(2020, 4, 7), 1247355220553797637, 1077371659529740288], [datetime.date(2020, 4, 7), 1247362812399271941, 394404097]]"
52,84,1247361384649650176,[1247429503258963970],"[datetime.date(2020, 4, 7), 1247361384649650176, 1073252275752071168]","[[datetime.date(2020, 4, 7), 1247429503258963970, 2505200550]]"
53,84,1247371706462687233,[1247373218513432576],"[datetime.date(2020, 4, 7), 1247371706462687233, 18150303]","[[datetime.date(2020, 4, 7), 1247373218513432576, 18150303]]"
54,84,1247406337560137728,[1247407552188633091],"[datetime.date(2020, 4, 7), 1247406337560137728, 918130038]","[[datetime.date(2020, 4, 7), 1247407552188633091, 918130038]]"
55,84,1247514287180001282,"[1247514284738990080, 1247514289197453313, 1247514291122647040]","[datetime.date(2020, 4, 7), 1247514287180001282, 144737971]","[[datetime.date(2020, 4, 7), 1247514284738990080, 144737971], [datetime.date(2020, 4, 7), 1247514289197453313, 144737971], [datetime.date(2020, 4, 7), 1247514291122647040, 144737971]]"
56,84,1247515126724464645,"[1247534174824620033, 1247538943123312647, 1247544431198289920]","[datetime.date(2020, 4, 7), 1247515126724464645, 771556891109437440]","[[datetime.date(2020, 4, 7), 1247534174824620033, 1547151510], [datetime.date(2020, 4, 7), 1247538943123312647, 959982652458647552], [datetime.date(2020, 4, 7), 1247544431198289920, 771556891109437440]]"
57,84,1247598616396435456,"[1247616546614251520, 1247617536390311937]","[datetime.date(2020, 4, 7), 1247598616396435456, 292423442]","[[datetime.date(2020, 4, 7), 1247616546614251520, 181219965], [datetime.date(2020, 4, 7), 1247617536390311937, 2870175939]]"
58,84,1247603096760582149,[1248247219821506561],"[datetime.date(2020, 4, 7), 1247603096760582149, 1246186231760916482]","[[datetime.date(2020, 4, 9), 1248247219821506561, 1033168140149116928]]"
59,84,1247879704675147777,"[1247678932427493376, 1249551334346493953]","[datetime.date(2020, 4, 8), 1247879704675147777, 846937712]","[[datetime.date(2020, 4, 8), 1247678932427493376, 385827528], [datetime.date(2020, 4, 13), 1249551334346493953, 88322897]]"
60,84,1248010655761723394,"[1246896444138758144, 1248015166576283648, 1248016781928591360]","[datetime.date(2020, 4, 8), 1248010655761723394, 256138776]","[[datetime.date(2020, 4, 5), 1246896444138758144, 66643970], [datetime.date(2020, 4, 8), 1248015166576283648, 1240370603208605696], [datetime.date(2020, 4, 8), 1248016781928591360, 256138776]]"
61,84,1248156867345424384,[1248157992631009280],"[datetime.date(2020, 4, 9), 1248156867345424384, 15645871]","[[datetime.date(2020, 4, 9), 1248157992631009280, 2341977604]]"
64,115,1249333855988973571,[1249795442356912128],"[datetime.date(2020, 4, 12), 1249333855988973571, 914568866747084800]","[[datetime.date(2020, 4, 13), 1249795442356912128, 944603890544271360]]"
65,115,1249398038394630145,[1249402162712641537],"[datetime.date(2020, 4, 12), 1249398038394630145, 1164622276563615744]","[[datetime.date(2020, 4, 12), 1249402162712641537, 873309323958652928]]"
66,115,1249407990144385027,"[1249673274281414656, 1249677072806674438, 1249643377987067904, 1249836333062815751, 1249608332316467201, 1249624677665738758, 1249613416056213504, 1249665268365885442, 1249684989530320898, 1249408270395211776, 1249614875501920257, 1249631595348348928, 1249644401825067008, 1249648803118034945, 1249650676457705472, 1249660094008250375, 1249723979910320128, 1249725711302176768, 1249834829513801729, 1250029846442520578, 1250030064885993477, 1249710949390585856, 1249651370145259526, 1249715671182856195, 1249828983853678594, 1249655854770593792]","[datetime.date(2020, 4, 12), 1249407990144385027, 302489616]","[[datetime.date(2020, 4, 12), 1249408270395211776, 1104519806785597441], [datetime.date(2020, 4, 13), 1249608332316467201, 99091488], [datetime.date(2020, 4, 13), 1249613416056213504, 22257045], [datetime.date(2020, 4, 13), 1249614875501920257, 117339294], [datetime.date(2020, 4, 13), 1249624677665738758, 360118285], [datetime.date(2020, 4, 13), 1249631595348348928, 165745474], [datetime.date(2020, 4, 13), 1249643377987067904, 1153257541], [datetime.date(2020, 4, 13), 1249644401825067008, 195728543], [datetime.date(2020, 4, 13), 1249648803118034945, 1043578710086115330], [datetime.date(2020, 4, 13), 1249650676457705472, 239992842], [datetime.date(2020, 4, 13), 1249651370145259526, 1247888327409152000], [datetime.date(2020, 4, 13), 1249655854770593792, 536607696], [datetime.date(2020, 4, 13), 1249660094008250375, 1093813215312707584], [datetime.date(2020, 4, 13), 1249665268365885442, 905530375543382016], [datetime.date(2020, 4, 13), 1249673274281414656, 114500745], [datetime.date(2020, 4, 13), 1249677072806674438, 98836740], [datetime.date(2020, 4, 13), 1249684989530320898, 1091432476243869703], [datetime.date(2020, 4, 13), 1249710949390585856, 2258126744], [datetime.date(2020, 4, 13), 1249715671182856195, 2275330108], [datetime.date(2020, 4, 13), 1249723979910320128, 1937969688], [datetime.date(2020, 4, 13), 1249725711302176768, 341030559], [datetime.date(2020, 4, 13), 1249828983853678594, 29551189], [datetime.date(2020, 4, 13), 1249834829513801729, 328701938], [datetime.date(2020, 4, 13), 1249836333062815751, 462383949], [datetime.date(2020, 4, 14), 1250029846442520578, 372580857], [datetime.date(2020, 4, 14), 1250030064885993477, 372580857]]"
67,115,1249424671759634433,"[1249521083100905473, 1249525585115852800]","[datetime.date(2020, 4, 12), 1249424671759634433, 1061411529952821249]","[[datetime.date(2020, 4, 13), 1249521083100905473, 1172114572041322496], [datetime.date(2020, 4, 13), 1249525585115852800, 1061411529952821249]]"
68,115,1249490764687695875,[1249711047776382977],"[datetime.date(2020, 4, 13), 1249490764687695875, 1063549985994747905]","[[datetime.date(2020, 4, 13), 1249711047776382977, 1247999436409769989]]"
69,115,1249511554048917506,[1249515875042045952],"[datetime.date(2020, 4, 13), 1249511554048917506, 15451878]","[[datetime.date(2020, 4, 13), 1249515875042045952, 2744717673]]"
70,115,1249600713442893825,"[1249662016282910720, 1249694315393232896, 1249601905581588482]","[datetime.date(2020, 4, 13), 1249600713442893825, 249355626]","[[datetime.date(2020, 4, 13), 1249601905581588482, 62495267], [datetime.date(2020, 4, 13), 1249662016282910720, 81210311], [datetime.date(2020, 4, 13), 1249694315393232896, 249355626]]"
71,115,1249660823275880448,"[1249557676960305157, 1249610383645478913, 1249620383839301634, 1249650461449175040, 1249690281366061057, 1250232687324876800]","[datetime.date(2020, 4, 13), 1249660823275880448, 936519552497680385]","[[datetime.date(2020, 4, 13), 1249557676960305157, 936519552497680385], [datetime.date(2020, 4, 13), 1249610383645478913, 898012501790441473], [datetime.date(2020, 4, 13), 1249620383839301634, 936519552497680385], [datetime.date(2020, 4, 13), 1249650461449175040, 898012501790441473], [datetime.date(2020, 4, 13), 1249690281366061057, 898012501790441473], [datetime.date(2020, 4, 15), 1250232687324876800, 898012501790441473]]"
